district_id,province_name,district_name,pi_scenario,year,month,V_TR,rate_pp_year,pi_weighted,seasonal_multiplier,M_climate,eta,days_in_month,d_days,lambda_import_per_day,lambda_import_window,lambda_import,expected_imported_cases_per_month,q_import_month
TUR.10.4_1,Artvin,Hopa,high,2050,5,0.06705690518671184,3.858537867424856e-4,4.781200562065102e-5,1.103207914941687,1.1388265205382009,0.25,31,3,8.015312819226323e-7,2.4045938457678966e-6,2.48474697396016e-5,2.48474697396016e-5,2.4045909546854816e-6
TUR.10.4_1,Artvin,Hopa,high,2050,6,0.06705690518671184,3.858537867424856e-4,5.4147808539961595e-5,1.2494033544433176,1.1388265205382009,0.25,30,3,9.077461158331076e-7,2.723238347499323e-6,2.7232383474993228e-5,2.7232383474993228e-5,2.723234639456784e-6
TUR.10.4_1,Artvin,Hopa,high,2050,7,0.06705690518671184,3.858537867424856e-4,6.213582088576697e-5,1.4337240087847871,1.1388265205382009,0.25,31,3,1.0416589624588461e-6,3.1249768873765386e-6,3.229142783622423e-5,3.229142783622423e-5,3.124972004608928e-6
TUR.10.4_1,Artvin,Hopa,high,2050,8,0.06705690518671184,3.858537867424856e-4,6.649258268220937e-5,1.5342554185233497,1.1388265205382009,0.25,31,3,1.1146967031351277e-6,3.344090109405383e-6,3.455559779718896e-5,3.455559779718896e-5,3.3440845179644185e-6
TUR.10.4_1,Artvin,Hopa,high,2050,9,0.06705690518671184,3.858537867424856e-4,5.723904639509669e-5,1.3207324366221658,1.1388265205382009,0.25,30,3,9.595683267734497e-7,2.878704980320349e-6,2.878704980320349e-5,2.878704980320349e-5,2.878700836816961e-6
TUR.10.4_1,Artvin,Hopa,high,2050,10,0.06705690518671184,3.858537867424856e-4,5.389645407805066e-5,1.243603460048037,1.1388265205382009,0.25,31,3,9.035323527529529e-7,2.710597058258859e-6,2.8009502935341542e-5,2.8009502935341542e-5,2.710593384636084e-6
TUR.10.4_1,Artvin,Hopa,high,2050,11,0.06705690518671184,3.858537867424856e-4,3.142898431729435e-5,0.7251823004971923,1.1388265205382009,0.25,30,3,5.268826053698652e-7,1.5806478161095955e-6,1.5806478161095955e-05,1.5806478161095955e-05,1.580646566856636e-6
TUR.10.4_1,Artvin,Hopa,high,2050,12,0.06705690518671184,3.858537867424856e-4,2.835039725945787e-5,0.6541469635058071,1.1388265205382009,0.25,31,3,4.7527247525827043e-7,1.4258174257748113e-6,1.4733446733006383e-5,1.4733446733006383e-5,1.425816409272862e-6
TUR.10.4_1,Artvin,Hopa,high,2051,1,0.06705690518671184,3.858537867424856e-4,2.7626263803370854e-5,0.6281034622015411,1.155751759436292,0.25,31,3,4.6313293813143215e-7,1.3893988143942965e-6,1.4357121082074397e-5,1.4357121082074397e-5,1.3893978492163228e-6
TUR.10.4_1,Artvin,Hopa,high,2051,2,0.06705690518671184,3.858537867424856e-4,2.8790984118898244e-5,0.6545846179366359,1.155751759436292,0.25,28,3,4.826585730732714e-7,1.4479757192198144e-6,1.35144400460516e-5,1.35144400460516e-5,1.4479746709428198e-6
